figure_id,title,png_path,svg_path,caption,data_sources,notes
fig_01_part_c_framework,Part C Experimentation Framework,results/dissertation_visuals/fig_01_part_c_framework.png,results/dissertation_visuals/fig_01_part_c_framework.svg,"Figure 1. Overview of the Part C contribution: controlled configuration files drive repeatable TORCS or dummy experiments, which produce telemetry, run logs, analysis tables and reproducibility evidence.","Repository structure, data/run_log.csv, analysis scripts",
fig_02_evidence_source_map,Evidence Source Separation Map,results/dissertation_visuals/fig_02_evidence_source_map.png,results/dissertation_visuals/fig_02_evidence_source_map.svg,"Figure 2. Evidence streams are separated before comparison: dummy rows validate the pipeline, live TORCS rows support Part C performance claims, stress rows support robustness exploration, and Part B rows are imported comparator artefacts only.","results/summary_dummy.csv, results/summary_live.csv, results/summary_stress.csv, results/summary_partb.csv, results/comparison_summary.csv",
fig_03_live_lap_time_comparison,Verified live TORCS mean lap time by configuration,results/dissertation_visuals/fig_03_live_lap_time_comparison.png,results/dissertation_visuals/fig_03_live_lap_time_comparison.svg,"Lower lap time is better. This figure compares only Part C live TORCS configurations, excluding dummy validation and imported Part B evidence.",results/summary_live.csv,Uses valid completed live rows only; excludes Part B imported comparator evidence.
fig_04_improvement_vs_baseline,Live performance improvement versus verified baseline,results/dissertation_visuals/fig_04_improvement_vs_baseline.png,results/dissertation_visuals/fig_04_improvement_vs_baseline.svg,Figure 4. Improvement is calculated as verified baseline mean lap time minus experiment mean lap time. Positive values indicate faster live TORCS performance than the EXP_001 rule-based baseline.,results/summary_live.csv,Live Part C configurations only; excludes dummy validation and imported Part B comparator evidence.
fig_05_robustness_reproducibility_summary,Robustness evidence from repeated live TORCS runs,results/dissertation_visuals/fig_05_robustness_reproducibility_summary.png,results/dissertation_visuals/fig_05_robustness_reproducibility_summary.svg,Repeated runs under identical conditions support reproducibility. Broader robustness requires stress tests or varied conditions.,results/robustness_summary.csv,Uses live Part C rows with positive lap-time evidence; completion rate shown as percentage.
fig_06_live_computational_efficiency,Computational-efficiency indicators for live Part C experiments,results/dissertation_visuals/fig_06_live_computational_efficiency.png,results/dissertation_visuals/fig_06_live_computational_efficiency.svg,"Figure 6. Computational-efficiency indicators for live Part C experiments, comparing the verified rule-based baseline, grid-search configurations, and Optuna live configuration without mixing dummy or imported Part B runtime evidence.",results/computational_efficiency_summary.csv,Live Part C methods only.
fig_07a_target_speed_sensitivity,Target speed sensitivity versus mean lap time,results/dissertation_visuals/fig_07a_target_speed_sensitivity.png,results/dissertation_visuals/fig_07a_target_speed_sensitivity.svg,Figure 7a. Target speed plotted against mean lap time for live Part C experiments. This is an exploratory sensitivity visual based on a small live sample and should not be interpreted as statistical proof.,results/hyperparameter_sensitivity.csv,Live Part C rows only; exploratory visual with no statistical-significance claim.
fig_07b_gentle_speed_sensitivity,Gentle speed sensitivity versus mean lap time,results/dissertation_visuals/fig_07b_gentle_speed_sensitivity.png,results/dissertation_visuals/fig_07b_gentle_speed_sensitivity.svg,Figure 7b. Gentle speed plotted against mean lap time for live Part C experiments. This is an exploratory sensitivity visual based on a small live sample and should not be interpreted as statistical proof.,results/hyperparameter_sensitivity.csv,Live Part C rows only; exploratory visual with no statistical-significance claim.
fig_07c_brake_threshold_sensitivity,Brake threshold sensitivity versus mean lap time,results/dissertation_visuals/fig_07c_brake_threshold_sensitivity.png,results/dissertation_visuals/fig_07c_brake_threshold_sensitivity.svg,Figure 7c. Brake threshold plotted against mean lap time for live Part C experiments. This is an exploratory sensitivity visual based on a small live sample and should not be interpreted as statistical proof.,results/hyperparameter_sensitivity.csv,Live Part C rows only; exploratory visual with no statistical-significance claim.
fig_07d_steer_gain_sensitivity,Steer gain sensitivity versus mean lap time,results/dissertation_visuals/fig_07d_steer_gain_sensitivity.png,results/dissertation_visuals/fig_07d_steer_gain_sensitivity.svg,Figure 7d. Steer gain plotted against mean lap time for live Part C experiments. This is an exploratory sensitivity visual based on a small live sample and should not be interpreted as statistical proof.,results/hyperparameter_sensitivity.csv,Live Part C rows only; exploratory visual with no statistical-significance claim.
